Date,Location,Province,Address,Health Authority,Drug Checking Site,Sold As/Expected Drug,Category,Colour,Texture,Code,Fentanyl,Benzodiazepine,FTIR Spectrometer,Source
2024-07-13,Vancouver,BC,"Vancouver, BC, Canada",,Get Your Drugs Tested,Cocaine Base,Stimulant,White,Pebble,superman,Positive,Negative,"Cocaine Base, Uncertain Match",getyourdrugstested.com
2024-07-07,Vancouver,BC,"Vancouver, BC, Canada",,Get Your Drugs Tested,Cocaine Base,Stimulant,Brown,Granules,N/A,Positive,Positive,"Cocaine Base, Caffeine, Erythritol",getyourdrugstested.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Codeine,Opioid,Dark Pink,Liquid,N/A,Negative,Unspecified,Uncertain carbohydrate,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,LSD,Psychedelic,Black,Blotter paper (tab),N/A,Negative,Unspecified,,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Ketamine,Psychedelic,White,Powder,N/A,Negative,Unspecified,Ketamine,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Ketamine,Psychedelic,White,Crystal,N/A,Negative,Unspecified,"Ketamine, Uncertain match",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Ketamine,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Ketamine,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Ketamine,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Ketamine,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Fentanyl,Opioid,Light Brown,Granules,N/A,Positive,Negative,"Para-fluorofentanyl, Para-fluorofentanyl base",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Down (Unknown Opioid),Opioid,Yellow,Granules,N/A,Positive,Negative,,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Down (Unknown Opioid),Opioid,Yellow,Granules,N/A,Positive,Negative,,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Down (Unknown Opioid),Opioid,Light Yellow,Granules,N/A,Positive,Negative,"Fentanyl, Erythritol, Caffeine",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Down (Unknown Opioid),Opioid,Brown,Granules,N/A,Positive,Negative,"Fentanyl, Caffeine, Erythritol",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Down (Unknown Opioid),Opioid,Blue,Pebble,N/A,Positive,Negative,"Erythritol, Caffeine, Para-fluorofentanyl, Fentanyl",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,"Cocaine hcl, Uncertain match",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,LSD,Psychedelic,Green,Blotter paper (tab),N/A,Negative,Unspecified,,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,"Uncertain carbohydrate, Cocaine hcl",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,Purple,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Alprazolam,Depressant,White,Chunk,N/A,Negative,Positive,"Microcrystalline cellulose, Uncertain match, Uncertain oil, Bromazolam",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,2C-B,Psychedelic,White,Powder,N/A,Negative,Unspecified,2c-b,bccsu-drugsense.onrender.com
2024-06-30,Mission,BC,"Mission, BC, Canada",Fraser Health,MCS The Haven,Down (Unknown Opioid),Opioid,Red,Granules,N/A,Positive,Positive,"Bromazolam, Para-fluorofentanyl base, Caffeine, Xylitol, Uncertain match",bccsu-drugsense.onrender.com
2024-06-30,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,MDMA,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,MDMA,Psychedelic,Dark Purple,Crystal,N/A,Negative,Unspecified,Dimethyl sulfone,bccsu-drugsense.onrender.com
2024-06-30,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,MDMA,Psychedelic,Dark Pink,Pressed tablet,N/A,Negative,Unspecified,"Mdma, Microcrystalline cellulose",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,LSD,Psychedelic,Black,Blotter paper (tab),N/A,Negative,Unspecified,,bccsu-drugsense.onrender.com
2024-06-30,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,Ketamine,Psychedelic,Colourless,Crystal,N/A,Negative,Unspecified,"Dimethyl sulfone, Ketamine",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,LSD,Psychedelic,Orange,Blotter paper (tab),N/A,Negative,Unspecified,,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Purple,Powder,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDA and MDMA,Psychedelic,Blue,Granules,N/A,Negative,Unspecified,"Uncertain oil, Mda, Mdma, Uncertain match, Microcrystalline cellulose",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Unknown,Unknown,White,Powder,N/A,Negative,Negative,Phenacetin,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Unknown,Unknown,White,Crystal,N/A,Negative,Negative,Pmk ethyl glycidate,bccsu-drugsense.onrender.com
